No.,Plant,Electrical Room,Motor Name,Capacity [kW],Voltage [V],Current [A],RPM,Maker,Serial Number,When ?,Check ?,Check Date,Check Status,REASON,Remark,frame,Type,"Installed
  Qty",Standby,Spare,"Shaft 
 Dia","Base 
 Width","Base 
 Length",C,E,H,Operation,Remark
1,RMH,RMH HV Room,A121BC,560,6000,66.6,990,HYOSUNG,F0226143-H1-0001,EVERY TIME,NOT YET,,NOT CHECK,Load: < 60%,,400,TEFC,1,0,0,120,900,1320,254,165,390,1 Running,Change from 400KW to 560KW (Investment Project Extension Belt Conveyor A-121)
1,RMH,RMH HV Room,-,400,6000,51.6,990,HYOSUNG,LA26374811,EVERY TIME,NOT YET,,NOT CHECK,Load: < 60%,,355,HSFC,1,0,0,-,-,-,-,-,-,-,400 kW will be installed in another place [Plan : installed in Bag Filter]
2,RMH,RMH HV Room,A-122BC,280,6000,35.5,990,HYOSUNG,LA26374819,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,1,105,686,1000,224,165,355,1 Running,
3,RMH,RMH HV Room,A-124BC,160,6000,21.4,988,HYOSUNG,LA26374820,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,280,HSFC,1,0,1,90,560,630,190,130,280,1 Running,
4,RMH,RMH HV Room,A-133BC,200,6000,27.1,990,HYOSUNG,LA26374815,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,315,HSFC,1,0,1,95,610,900,200,130,315,1 Running,
5,RMH,RMH HV Room,A-104BC(A),355,6000,46.8,990,HYOSUNG,LA26374810-4,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,Tanya Maker (Sideband tidak jelas),355,HSFC,1,0,1,105,686,1000,224,165,355,4 Running,
6,RMH,RMH HV Room,A-104BC(B),355,6000,46.8,990,HYOSUNG,LA26374810-3,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,,105,686,1000,224,165,355,,
7,RMH,RMH HV Room,A-134BC(A),355,6000,46.8,990,HYOSUNG,LA26374810-1,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,,105,686,1000,224,165,355,,
8,RMH,RMH HV Room,A-134BC(B),355,6000,46.8,990,HYOSUNG,LA26374810-2,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,,105,686,1000,224,165,355,,
9,RMH,RMH HV Room,B-101BC(A),132,6000,17.1,988,HYOSUNG,LA26374814-3,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,Tanya Maker (Spectrum aneh),280,HSFC,1,0,1,90,560,630,190,130,280,2 Running,
10,RMH,RMH HV Room,B-101BC(B),132,6000,17.1,988,HYOSUNG,LA26374814-4,EVERY TIME,NOT YET,1/7/2020,NOT CHECK,Load: < 60%,Tanya Maker (Spectrum aneh),280,HSFC,1,0,,90,560,630,190,130,280,,
11,RMH,RMH HV Room,B-102BC,160,6000,21.4,988,HYOSUNG,LA26374813-2,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,,280,HSFC,1,0,0,90,560,630,190,130,280,1 Running,
12,RMH,RMH HV Room,B-104BC,250,6000,34.4,990,HYOSUNG,LA26374816,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,,315,HSFC,1,0,1,95,610,900,200,130,315,1 Running,
13,RMH,RMH HV Room,B-111BC(A),132,6000,17.1,988,HYOSUNG,LA26374814-2,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,280,HSFC,1,0,0,90,560,630,190,130,280,2 Running,
14,RMH,RMH HV Room,B-111BC(A),132,6000,17.1,988,HYOSUNG,LA26374814-1,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,280,HSFC,1,0,0,90,560,630,190,130,280,,
15,RMH,RMH HV Room,B-112BC,160,6000,21.4,988,HYOSUNG,LA26374813-3,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,,280,HSFC,1,0,0,90,560,630,190,130,280,1 Running,
16,RMH,RMH HV Room,B-121BC,280,6000,35.5,990,HYOSUNG,LA26374812-1,EVERY TIME,NOT YET,6/11/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,0,105,686,1000,224,165,355,1 Running,
17,RMH,RMH HV Room,B-131BC,250,6000,34.4,990,HYOSUNG,LA26374818,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,,315,HSFC,1,0,0,95,610,900,200,130,315,1 Running,
18,RMH,RMH HV Room,B-136BC,132,6000,17.7,988,HYOSUNG,LA26374817,EVERY TIME,NOT YET,,NOT CHECK,BC Motor didn't use for a long time (Not active),,280,HSFC,1,0,0,90,560,630,190,130,280,1 Running,
19,RMH,RMH HV Room,C-101BC,280,6000,35.5,990,HYOSUNG,LA26374812-3,EVERY TIME,NOT YET,6/11/2020,NOT CHECK,Load: < 60%,,355,HSFC,1,0,0,105,686,1000,224,165,355,1 Running,
20,RMH,RMH HV Room,C-102BC,160,6000,21.4,988,HYOSUNG,LA26374813-4,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,,280,HSFC,1,0,0,90,560,630,190,130,280,1 Running,
21,RMH,RMH HV Room,F-101BC,280,6000,35.5,990,HYOSUNG,LA26374312-4,EVERY TIME,NOT YET,1/9/2020,NOT CHECK,Load: < 60%,Tanya Maker (Spectrum berubah-ubah),355,HSFC,1,0,0,105,686,1000,224,165,355,1 Running,
22,RMH,RMH HV Room,F-111BC,280,6000,35.5,990,HYOSUNG,LA26374812-2,EVERY TIME,NOT YET,,NOT CHECK,Load: < 60%,,355,HSFC,1,0,0,105,686,1000,224,165,355,1 Running,
23,RMH,RMH HV Room,D-115BC,160,6000,21.4,988,HYOSUNG,LA26374813-1,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,280,HSFC,1,0,0,90,560,630,190,130,280,1 Running,
24,RMH,RMH HV Room,No.1 Crusher,220,6000,28.7,987,HYUNDAI,20121228RMH384001,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,355,HLB5 352-68E,1,0,0,-,-,-,-,-,-,1 Running,
25,RMH,RMH HV Room,No.2 Crusher,160,6000,20.8,986,HYUNDAI,20121228RMH383002,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,315,HLB5 352-68E,1,0,1,-,-,-,-,-,-,1 Running,
26,RMH,RMH HV Room,No.3 Crusher,220,6000,28.7,987,HYUNDAI,20121228RMH384002,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,355,HLB5 352-68E,1,0,0,-,-,-,-,-,-,1 Running,
27,RMH,RMH HV Room,No.1 Bag Filter Fan,350,6000,45.7,987,HYOSUNG,LA25589802,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,355,HSFC,1,0,0,105,686,1000,224,165,355,1 Running,
28,RMH,RMH HV Room,Pump 01,230,6000,27.6,1483,HYUNDAI,20125141RMHF99001,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,315,HLE5 312-48E,1,0,0,90,508,508,216,170,315,2 Running,
29,RMH,RMH HV Room,Pump 02,230,6000,27.6,1483,HYUNDAI,20125141RMHF99002,EVERY TIME,NOT YET,,NOT CHECK,Sensor can not reach the panel,,315,HLE5 312-48E,1,0,0,90,508,508,216,170,315,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sinter,Sinter MER,Cooling Air Fan 1,2000,6000,229.7,993,HYUNDAI,20120862RMH258001,NOT EVERY TIME,NOT YET,2/24/2020,OK,,,560,HRQ3 565-68E,1,0,1,160,1120,1800,280,400,560,2 running,
31,Sinter,Sinter MER,Cooling Air Fan 2,2000,6000,229.7,993,HYUNDAI,20120862RMH258002,NOT EVERY TIME,NOT YET,2/24/2020,OK,,,560,HRQ3 565-68E,1,0,,160,1120,1800,280,400,560,,
32,Sinter,Sinter MER,Mixing Drum,720,6000,85.7,1477,HYUNDAI,20120862RMH257001,NOT EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Torque and ampere changes frequently,,450,HRQ3 453-48E,1,0,1,130,850,1400,350,240,450,2 running,
33,Sinter,Sinter MER,Rerolling Drum,720,6000,85.7,1477,HYUNDAI,20120862RMH257002,NOT EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Load: < 60%,,450,HRQ3 453-48E,1,0,,130,850,1400,350,240,450,,
34,Sinter,Sinter MER,Coke BF ID Fan,630,6000,76.4,992,XIANGTAN,J1213894,EVERY TIME,NOT YET,6/11/2020,OK,,,500,YKK500-6TH,1,0,1,140,900,1250,475,520,500,1 running,
35,Sinter,Sinter MER,Storage Bin BF ID Fan,710,6000,85.8,992,HYOSUNG,10023810_0001,EVERY TIME,NOT YET,2/24/2020,OK,,,500,TEAAC,1,0,,140,900,1250,475,520,500,1 running,
36,Sinter,Sinter MER,R-EP ID Fan,1800,6000,200,990,HYOSUNG,10015671_0001,NOT EVERY TIME,NOT YET,2/24/2020,OK,,,710,HSTC,1,0,1,200,1400,1800,530,350,710,1 running,
37,Sinter,Sinter MER,Rod Mill Motor,600,6000,70.7,1482,HYUNDAI,20120862RMH259001,EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Load: < 60%,"Need more analysis , TANYA MAKER",450,HLE5 452-48E,1,0,1,130,750,1250,280,240,450,1 running,
38,Sinter,Sinter MER,Exhaust Gas Fan 1,7500,6000,880,990,HYOSUNG,LF25077602-1,NOT EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Wound rotor type,,900,HWWC,1,0,1,240,1800,2000,750,310,900,2 running,
39,Sinter,Sinter MER,Exhaust Gas Fan 2,7500,6000,880,990,HYOSUNG,LF25077602-2,NOT EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Wound rotor type,,900,HWWC,1,0,,240,1800,2000,750,310,900,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
